annualised_return,annualised_volatility,sharpe_ratio,max_drawdown,count,fund,method
0.04817366428409807,0.20907495416803848,0.23041336766420983,-0.2694232478694441,501,Combined,equal_weight
0.03767389903031068,0.1506545995389958,0.2500680307510896,-0.18739342335553077,501,Combined,hrp
-0.07332768832676677,0.19762766393815528,-0.37103959468808784,-0.27472583569228437,501,Combined,max_sharpe
-0.08260759838595468,0.21033640774020565,-0.39274036898065884,-0.31798594593750124,501,Combined,max_sharpe_sentiment
0.03698530541850921,0.13473343672094873,0.274507251641705,-0.16504547015553617,501,Combined,min_variance
0.03886231214987503,0.16936501077113095,0.22945891818464842,-0.21386763486251992,501,Combined,risk_parity
0.06904209449066866,0.7154065001514658,0.09650750234454268,-0.7633190097180798,956,Crypto,equal_weight
0.12272336627776065,0.6787718308125311,0.18080209093364014,-0.7610458158526994,956,Crypto,hrp
0.05946723902619883,0.7488552624201743,0.07941085815970728,-0.7949357593627207,956,Crypto,max_sharpe
0.1930398796125609,0.5800654399034709,0.3327898308244063,-0.758350196011539,956,Crypto,min_variance
0.09821689856095513,0.6993181655525773,0.14044665704250295,-0.759085000523043,956,Crypto,risk_parity
0.07368102610202878,0.17705228712586207,0.4161540486040193,-0.20321862626913603,501,Equity,equal_weight
0.03204554232459677,0.15248648295895711,0.21015333098883307,-0.18259238311931825,501,Equity,hrp
-0.02662195885605513,0.1930231508223532,-0.1379210666836351,-0.24981969456942063,501,Equity,max_sharpe
0.038337814258131986,0.13497251101911184,0.28404164647054264,-0.16424741081534985,501,Equity,min_variance
0.04466877574646592,0.16227655753682058,0.27526326922686023,-0.1899397045818731,501,Equity,risk_parity
